REVIEW_PANEL,MEDICALSPECIALTY,PRODUCTCODE,DEVICENAME,DEVICECLASS,UNCLASSIFIED_REASON,GMPEXEMPTFLAG,THIRDPARTYFLAG,REVIEWCODE,REGULATIONNUMBER,SUBMISSION_TYPE_ID,SUBMISSION_TYPE,DEFINITION,PHYSICALSTATE,TECHNICALMETHOD,TARGETAREA,Implant_Flag,Life_Sustain_support_flag,SummaryMalfunctionReporting
PA,Pathology,PRB,Cervical Intraepithelial Neoplasia (Cin) Test System,2,IDE,N,N,,864.1865,1,510(K),"The p16 CIN test system is a qualitative immunohistochemistry (IHC) test to assess the p16INK4a protein in formalin-fixed, paraffin-embedded (FFPE) cervical punch biopsy tissues. It is indicated as an adjunct to examination of hematoxylin and eosin (H&E) stained slide(s), to improve consistency in the diagnosis of CIN.  Diagnosis of CIN presence or level should be based on H&E stained slide(s) and other clinical and laboratory test information.",The device may include a primary antibody and accessory reagents or other detection system.,"The test uses a primary antibody, specific reagents or methods to detect p16INK4a protein in human clinical specimens.  May include antibody-antigen protein complexes, which are visualized using an enzyme conjugated antibody or other detection systems or methods.",Human clinical specimens,N,N,Eligible
MI,Microbiology,QDP,Respiratory Panel,2,IDE,N,N,,866.3985,1,510(K),"The panel is a multiplexed nucleic acid test intended for use with systems for the simultaneous detection and identification of multiple respiratory viral and bacterial nucleic acids, as well as select antimicrobial resistance genes, in sputum-like specimens (induced or expectorated sputum, or endotracheal aspirates) or bronchoalveolar lavage (BAL)-like specimens (BAL or mini-BAL) obtained from individuals suspected of lower respiratory tract infection.",Multiplex nucleic acid panel,Semi-quantitative multiplexed nucleic acid test,Human clinical samples,N,N,Ineligible
RA,Radiology,OVB,Hydrogel Spacer,2,IDE,N,N,,892.5725,1,510(K),The perirectal spacer is intended to temporarily position the anterior rectal wall away from the prostate during radiotherapy for prostate cancer and in creating this space it is the intent of the perirectal spacer to reduce the radiation dose delivered to the anterior rectum. The perirectal spacer is composed of biodegradable material and maintains space for the entire course of prostate radiotherapy treatment and is completely absorbed by the patient’s body  over time.,"Synthetic, absorbable polyethylene glycol (PEG)-based hydrogel supplied in a single use tray",Injected in tissue found between the rectum and prostate.  The injected liquid solidifies creating a space between the rectum and prostate during radiation therapy to protect vulnerable tissue.  It gradually liquifies and is absorbed.,Between the prostate and the rectum,N,N,Eligible
TX,Clinical Toxicology,NGM,"Test, Phencyclidine (Pcp), Over The Counter",1,Pre-Amendment,N,N,,,1,510(K),The phencyclidine test is an in vitro diagnostic test for the qualitative analysis of phencyclidine in human urine.,In vitro diagnostic device.,Urine sample assay.,Urine.,N,N,Eligible
HE,Hematology,NJN,"Platelets, Photochemical Treatment System",3,For Export Only,N,N,,,3,Contact ODE,The photochemical treatment system is a class iii medical device for the preparation and storage of pathogen reduced donor derived platelets. The device has the process capability for the pathogen inactivation of platelets having platelet counts of 2.5-6.0x1011. The platelet products are indicated for support of patients requiring platelet transfusion according to clinical practice guidelines. There is no intended pharmacological effect attributed to residual amotosalen (s-59) in the platelet product.,,,,N,N,Ineligible
NE,Neurology,POS,Physiological Signal Based Seizure Monitoring System,2,IDE,N,N,,882.1580,1,510(K),"The Physiological signal based seizure monitoring system is a prescription device that uses physiological signal to identify abnormal physiological activity that may be associated with a seizure. The System does not predict seizure onsets, and is not intended as a standalone seizure monitoring device.",The device should contain a part that collects physiological signals (usually attached to the human body) and a base station that provides information to the caregiver or healthcare professionals.,Physiological signal measurement and analysis,Human body surface areas,N,N,Eligible
MI,Microbiology,PYN,"Fish (Fluorescence In Situ Hybridization) Kit, Nucleic Acid, Plasmodium Sp.",2,IDE,N,N,,866.3367,1,510(K),The Plasmodium sp. FISH is intended to detect Plasmodium spp. parasites and/or differentiate parasite species in clinical whole blood smear specimens from patients with signs or symptoms of malaria and suspicion of infection.,"In vitro diagnostic devices and reagents that consist of slides, fixatives, fluorescently labeled probes, buffers, and associated instrumentation (if applicable) for the detection and identification of Plasmodium spp. parasites in clinical whole blood smear specimens.",Fluorescence In Situ Hybridization using labeled nucleic acid probes,Target Area,Clinical whole blood smear specimens from patients suspected of infection with Plasmodium spp.,N,N
MI,Microbiology,NOM,"Antigen, Galactomannan, Aspergillus Spp.",1,Pre-Amendment,N,Y,,866.3040,1,510(K),"The Platelia Aspergillus EIA is an immunoenzymatic sandwich microplate assay for the detection of Aspergillus galactomannan antigen in human serum.    It is a test which, when used in conjunction with other diagnostic procedures such as microbiological culture, histological examination of biopsy samples and radiographic evidence, can be used as an aid in the diagnosis of Invasive Aspergillosis.",,,,N,N,Eligible
PA,Pathology,PLS,"Immunohistochemistry Assay, Antibody, Programmed Death-Ligand 1",3,For Export Only,N,N,,,2,PMA,The programmed death-ligand 1 (PD-L1) antibody is a qualitative immunohistochemical antibody intended to identify PD-L1 protein expression in human clinical tissue specimens.  The PD-L1 antibody is indicated as an aid in identifying patients eligible for treatment with specific FDA approved therapeutic drugs or to assess PD-L1 expression level in patients who may respond particularly well to specific FDA approved therapeutic drugs.,"The device includes a monoclonal primary antibody and accessory reagents, including secondary antibodies, buffers, substrates, and counterstains.  The device may be intended for manual or automated staining methods.",The test uses a primary monoclonal antibody to detect the presence of expressed antigen protein in fixed tissue specimens.  Antibody-antigen complexes are visualized using an enzyme conjugated primary or secondary antibody to catalyze a color-producing reaction.,Human clinical tissue specimens,N,N,Ineligible
TX,Clinical Toxicology,PVI,"Test, Propoxyphene, Employment And Insurance Testing, Exempt",2,IDE,N,N,,862.3700,4,510(K) Exempt,"The propoxyphene test is an in vitro diagnostic test for the qualitative analysis of propoxyphene for employment and insurance testing.    FDA has exempted these devices from the premarket notification requirement by publishing in the Federal Register of July 11, 2017 (82 FR 31976) available at https://www.federalregister.gov/documents/2017/07/11/2017-14453/medical-devices-exemptions-from-premarket-notification-class-ii-devices subject to the limitations under 21 CFR XXX.9, where XXX refers to Parts 862-892, and any limitations on the exemption described in (82 FR 31976).  Any device that exceeds the limitations found in 21 CFR sections 862.9 to 892.9 or identified in the Federal Register  (82 FR 31976) available at https://www.federalregister.gov/documents/2017/07/11/2017-14453/medical-devices-exemptions-from-premarket-notification-class-ii-devices is required to submit a premarket notification submission (510(k)) to FDA before introducing a device into interstate commerce.  If a manufacturer’s device is exempt from the premarket notification requirement, then a premarket notification submission and FDA clearance is not required before marketing the device in the U.S. however, manufacturers are required to meet all other requirements under the Federal Food Drug & Cosmetic and implementing regulations including (but not limited to) registration and listing requirements. Please see the Device Registration and Listing website for additional information on registration and listing.",In vitro diagnostic device,Immunoassay,In vitro specimen,N,N,Ineligible
TX,Clinical Toxicology,QBF,"Test, Propoxyphene, Over The Counter",2,IDE,N,Y,,862.3700,1,510(K),The propoxyphene test is an in vitro diagnostic test for the qualitative detection of propoxyphene in human urine. The test is intended for over-the-counter use as the first step in a two step process to provide consumers with information concerning the presence or absence of propoxyphene in a urine sample.,In vitro diagnostic device,Immunoassay,Urine,N,N,Ineligible
CH,Clinical Chemistry,PJT,Continuous Glucose Monitor Secondary Display,2,IDE,N,N,,862.1350,4,510(K) Exempt,"The purpose of the continuous glucose monitor secondary display is to notify another person, the follower, of the patient's continuous glucose monitoring system sensor glucose information in real time. The secondary display is intended for providing secondary notification of a continuous glucose monitoring system and does not replace primary real time continuous glucose monitoring or standard home blood glucose monitoring",Typically a software device installed on a third-party mobile device.,Receives and displays real-time patient data from a continuous glucose monitor.,n/a,N,N,Ineligible
CH,Clinical Chemistry,PKU,Insulin Pump Secondary Display,2,IDE,N,N,,862.1350,4,510(K) Exempt,The purpose of the insulin pump secondary display is to notify another person of the patient's insulin pump usage information in real time. The secondary display is intended for providing secondary notification of insulin pump usage and does not replace primary real time insulin pump monitoring or standard home blood glucose monitoring.,"Typically a software device installed on a third-party mobile device, or implemented in a web-based platform.",Receives and displays real-time patient data from an insulin pump.,n/a,N,N,Ineligible
MI,Microbiology,QKP,Coronavirus Antigen Detection Test System.,11,Not FDA Regulated,N,N,,,8,EUA - Emergency Use Authorization,The qualitative detection of coronavirus viral antigens directly from clinical specimens.,In vitro diagnostic device,Antigen detection,Clinical specimens.,N,N,Ineligible
MI,Microbiology,QKO,"Reagent, Coronavirus Serological",11,Not FDA Regulated,N,N,,,8,EUA - Emergency Use Authorization,The qualitative detection of IgM and/or IgG antibodies to coronavirus from human specimens.,In vitro diagnostic device.,Serological assay.,Detection and differentiation of IgM and/or IgG antibodies from human specimens.,N,N,Ineligible
MI,Microbiology,PCL,"Enzyme Linked Immunoabsorbent Assay, Rubeola Igm",1,Pre-Amendment,N,N,,866.3520,4,510(K) Exempt,The qualitative detection of measles specific  IgM antibodies in serum or plasma.,IVD reagent kit,antigens and antisera used for the detection of measles antibodies,Not applicable in vitro use,N,N,Eligible
MI,Microbiology,LJB,"Enzyme Linked Immunoabsorbent Assay, Rubeola Igg",1,Pre-Amendment,N,N,,866.3520,4,510(K) Exempt,The qualitative detection of measles specific IgG antibodies in serum or plasma.,IVD reagent kit,antigens and antisera used for the detection of measles antibodies,Not applicable in vitro use,N,N,Eligible
PA,Pathology,PFK,Quality Control For Molecular Immunohematology Tests,2,IDE,N,Y,,864.9650,1,510(K),The quality control for molecular immunohematology assay is used to demonstrate that the test can correctly detect genetic variations of human erythrocyte antigens.,DNA or synthetic plasmids,Molecular,N/A,N,N,Eligible
MI,Microbiology,ORL,Whole Blood Pre-Treatment T-Cell Enrichment Reagent,3,For Export Only,N,N,,,2,PMA,The reagent is for the pre-treatment of whole blood prior to lymphocyte separation. The reagent aids in the removal of selected white blood cells from whole blood stored at room temperature (18-25°C).,Liquid reagent,"The reagent contains bispecific monoclonal antibodies which are directed against cell surface markers on selected white blood cells and glycophorin A on red blood cells. The reagent cross-links the selected white blood cells with the red blood cells, which increases the density of the selected cells. When a density gradient is applied during the blood cell extraction process, the selected white blood cells remain separated into the red blood cell layer away from the PBMC layer and non-selected cells, including T cells and antigen presenting cells contained in the PBMC layer.",Whole blood samples,N,N,Ineligible
MI,Microbiology,NXX,"Fish (Fluorescent In Situ Hybridization) Kit, Protein Nucleic Acid, Rna, Staphylococcus Aureus",1,Pre-Amendment,N,N,,866.3700,4,510(K) Exempt,The s. Aureus pna fish is a qualitative nucleic acid hybridization assay intended for presumptive identification of staphylococcus aureus from blood cultures with gram-positive cocci in clusters (gpcc).  This device is not exempt per 21 cfr part 866.9(c)(6).,"Kit box containing 1.5 ml Fixation Solution,  S. aureus-specific PNA probe in hybridization solution, Wash Solution and Mounting Medium. One-well microscope slides, fluorescent microscope equipped with a Dual Band Filter, and Control Slides are required and are available from the manufacturer.",Fluorescent In Situ Hybridization using protein nucleic acid (PNA) probes.,Systemic blood culture,N,N,Eligible
IM,Immunology,OWD,Somatic Gene Mutation Detection System,3,For Export Only,N,N,,,2,PMA,The somatic gene mutation detection system is an in vitro diagnostic nucleic acid amplification and real-time detection system for the identification of genetic mutations in DNA extracted from human tumor tissues.,"Test consists of reagents, instrumentation, software and instructions needed to perform the test method.",In vitro amplification and detection of genomic DNA representing a somatic gene mutation from a cancerous specimen of interest.,Human clinical specimens of peripheral blood or bone marrow.,N,N,Ineligible
OP,Ophthalmic,PZK,Light Adjustable Lens (Lal) And Light Delivery Device (Ldd),3,For Export Only,N,N,,886.3600,2,PMA,The system consists of an intraocular lens and an external energy source. The lens is intended to be implanted to replace the natural lens of an eye. The external energy source is used to postoperatively alter the properties of the lens material to reduce the likelihood of clinically significant postoperative refractive error.,An intraocular lens made of a polymeric material with an appropriate shape to be implanted to replace the natural lens of an eye after cataract surgery. The energy source is a device that produces an appropriate external energy source to alter the shape or optical properties of the lens.,The intraocular lens is implanted within the eye and the external energy source is used to alter the material property within the lens to compensate for postoperative refractive error.,Eye,Y,N,Ineligible
CH,Clinical Chemistry,OOI,Real Time Nucleic Acid Amplification System,2,IDE,N,N,,862.2570,4,510(K) Exempt,"The system is a clinical multiplex instrument intended to measure and sort multiple signals generated my multiple probes, intercalating dyes, or other ligands in an assay from a clinical sample. Signals may be generated by fluorescence or other phenomena and may be measured using filters on a photodiode or other detector. It may integrate sample and/or reagent handling, amplification, dedicated instrument control, data acquisition software, raw data storage mechanisms and other essential hardware components along with the signal reader unit. The system is used with specific assays to comprise an assay test system.",Should not include microarray or electrophoresis detection methods or instruments.,"A real-time thermocycler is intended to identify and/or quantify the presence of specific sequences of double stranded DNA, amplified from a biological source and labeled with fluorescently labeled probes or through the use of intercalating dyes and detect using a high-power light-emitting diode (LED). Fluorescence emission is detected through the use of filters on a photodiode. The emission filters are optimized for use with specific fluorescent dyes.",N/A,N,N,Eligible
CV,Cardiovascular,NHW,"Electrode, Pacing And Cardioversion, Temporary, Epicardial",2,IDE,N,N,,870.3680,1,510(K),The System is indicated for use in postoperative cardiac surgery patients who require temporary atrial or ventricular pacing/sensing and/or atrial cardioversion. Epicardial defibrillation electrodes can be implanted up to 7 days.,,,,N,Y,Eligible
AN,Anesthesiology,POI,Lung Tissue Sealant For Lung Volume Reduction,3,For Export Only,N,N,,,3,Contact ODE,"The system is intended to reduce lung volume irreversibly by employing a synthetic polymer to seal airways in order to improve lung function and quality of life in patients with advanced emphysema. It functions by physically occluding both small airways and collateral air channels through sealing lung tissue, causing the treated area to collapse via absorption atelectasis. It is a single use device intended to be used by pulmonologists and thoracic surgeons in a bronchoscopy suite or operating room.",The foam is prepared immediately prior to administration using a standard accessory (stopcock) and mixing together the following:  •         Solution A (4.5 mL of solution containing 2.1% (w/v) of aminated polyvinyl alcohol [aPVA])  •         Solution B (0.5 mL of solution containing 1.25% (w/v) of glutaraldehyde [GA])   •         15 mL of air    Polymerization is initiated as the two solutions are mixed in the 20 mL Syringe. The GA molecules covalently bond to the aPVA molecules. Room air is introduced via a standard accessory (30 mL syringe) and the mixture is foamed by pushing the solutions and air through a stopcock between the 20 mL Syringe and the 30 mL syringe for 10 cycles.,"The AeriSeal System is designed to produce lung volume reduction by physically occluding airways, leading to reduced gas trapping in order to improve lung function and quality of life in patients with advanced emphysema.  A single subsegmental treatment consists of an injection of up to 20 mL of foam administered through a standard fiberoptic bronchoscope via a standard accessory (20 mL Syringe) and the catheter, followed by administration of up to 30 mL of air through the instrument channel of the scope, into the treated area of damaged lung.",Small airways and collateral air channels of the lung,Y,N,Eligible
GU,Gastroenterology & Urology,PZP,Fluid Jet Removal System,2,IDE,N,N,,876.4350,1,510(K),The system is used for removal of prostate tissue with a fluid jet.,"The system consists of a hand piece through which the fluid exits, and may have a conformal planning unit (CPU), which is used in treatment planning.",The system is a personalized image-guided tissue removal system that uses a high-velocity fluid jet to resect and remove a predetermined volume of tissue.,Prostate.,N,N,Eligible
NE,Neurology,PNA,Evoked Photon Image Capture Device,1,Pre-Amendment,N,N,,882.1561,4,510(K) Exempt,"The System reports two sets of numbers under two different conditions, one with capacitive barrier to minimize the effect of variables such as oils and sweat on the image and one without the capacitive barrier. The response scale reports numerical measures of electrophysiological signals emanating from the skin.  The device is limited to use as a measurement tool and is not intended for diagnostic purposes or for influencing any clinical decisions. This device is only to be used to image and document electrophysiological signals emanating from the skin.","The system includes the following components: (1) The Device, (2) Power cord, (3) USB external cable, (4) Electrode cover, (5) Finger shroud, (6) Reference probe, (7) Reference probe cable, (8) Reference probe shroud, (9) Instructions for Use, (10) Computer All-In-One System or Laptop with Software installed, (11) Keyboard and mouse, (12) USB hardware key, (13) Capacitive barriers, (14) Cleaning cloths, and (15) Alcohol swabs","The System consists of the hardware attached to a computer/software system. The measurements are digital photographs acquired when placing a fingertip in contact with a glass electrode. A series of electrical impulses are applied to the glass electrode generating a localized electromagnetic field around the fingertip. Under the influence of this field, an image is generated.",Finger tips,N,N,Eligible
HO,General Hospital,ORC,Air Filter Portable Apparatus,2,IDE,N,Y,,878.5070,1,510(K),The sytem is intended to control the surgical environment to prevent bacterial contamination during surgical procedures.,A reusable mobile HEPA air filtration unit with a hose connecting to a disposable air delivery unit to be place at the surgical site.,"The system uses an air supply hose connected to nozzle design that is to be mounted, or applied to the incision drape in close proximity to the surgical site to provide direct air flow blowing over the surgical incision site that helps reduce the level of ambient airborne contamination.",Surgical site.,N,N,Eligible
HE,Hematology,PBA,Ecarin Clotting Time,f,,N,N,,,6,HDE - Humanitarian Device Exemption,"The TAS ECT Test Card is to be used with the TAS Analyzer and is intended to determine the anticoagulant effect of hirudin during CBP in patients who have HIT. It is suited for professional use in decentralized areas of testing near the site of patient care as well as for use in the more traditional laboratory. Monitoring with the TAS ECT is indicated for persons who have been identified with and/or confirmed as a high risk for HIT, and require high dose anticoagulant with hirudin for a scheduled or emergency CPB procedure.","The system requires pooled normmal human plasma to dilute the citrate whole blood usingpolypropylene plastic tube. The system's performance is monitored by two levels of quality control plasma avialble from Cardiovascular Diagnostics, Inc.","The TAS ECT provides one stage test which measures the clotting time of a plasma diluted, citrate whole blood after combining it with the prothrombin activator, ecarin. It is composed of a thin plastic card in which a flat, shallow reaction chamber containing all reagents necessary for the ECT test. In the reaction chamber, it also contains paramagnetic iron peroxide particles (PIOP) which is impeded by a clot.  The signal produced by the relative movement of the PIOP is interpreted by the TAS Analyzer and reported in seconds. The greater amount of recombinant hirudin in the patient blood, the longer the clotting time is generated by the TAS system.",Patient's citrated whole blood,N,N,Eligible
MI,Microbiology,OPL,"Multiplex Immunoassay For Measles Virus, Mumps Virus, Rubella And Varicella Zoster Virus",2,IDE,N,Y,,866.3510,1,510(K),"The test is a multiplex immunoassay intended for the qualitative detection of specific human IgG antibodies to measles virus, mumps virus, Rubella and varicella zoster virus (VZV) in human serum and/ or plasma. The results of this assay are intended to be used as an aid in the assessment of a patient¿s serological status to measles virus, mumps virus, Rubella and VZV. The test is not intended for use in screening blood or plasma donors.",The device is a fully automated instrument,Multiplex flow immunoassay (multiplexed fluromagnetic bead assay),The device is an in-vitro diagnostic device; none of the body parts will utilize the device or is intended to be affected by the device,N,N,Eligible
MI,Microbiology,OPM,"Multiplex Immunoassay For T. Gondii, Rubella, Cytomegalovirus And Herpes Simplex Virus 1 And 2",2,IDE,N,N,,866.3510,1,510(K),"The test is a multiplex immunoassay intended for the qualitative detection of specific human IgG antibodies to Toxoplasma gondii (T.gondii), Rubella, Cytomegalovirus (CMV) and Herpes Simplex Virus 1 & 2 (HSV 1 and HSV 2) in human serum. The results of this assay are intended to be used as an aid in the assessment of a patient's serological status to Toxoplasma gondii, Rubella, CMV and HSV 1 & 2. The test is not intended for use in screening blood or plasma donors.",Assay,Multiplex flow immunoassay (multiplexed fluromagnetic bead assay),none,N,N,Ineligible
CH,Clinical Chemistry,PHK,"Test, Cell Mediated Immune Response, Liver And Small Bowel Transplant/Transplantation",9,Not FDA Regulated,N,N,,,6,HDE - Humanitarian Device Exemption,"The test is a qualitative prognostic test intended to be used in patients less than 21 years old with liver or small bowel transplantation. The test is an aid in the evaluation of the risk of acute cellular rejection (ACR) and must be used in conjunction with biopsy, standard clinical assessment and other laboratory information.","flow cytometers, fluorochrome labeled antibodies, sodium heparin blood collection tubes, processing reagents, automated processing devices or pipetting devices.",Stimulated Cell Culture,Peripheral human whole blood specimens,N,N,Eligible
CH,Clinical Chemistry,NQM,Immunoassay For Detection Of Amniotic Fluid Protein(S).,1,Pre-Amendment,N,N,,862.1550,4,510(K) Exempt,"The test is for use by health care professionals to aid in the detection of fetal membrane rupture in pregnant women, when they report signs, symptoms or complaints suggestive of such rupture.","cassette, dip stick or dipstrip",Immunoassay,: for testing cervicovaginal fluid specimens,N,N,Ineligible
IM,Immunology,OAU,"Des-Gamma-Carboxy-Prothrombin (Dcp), Risk Assessment, Hepatocellular Carcinoma",2,IDE,N,Y,,866.6030,1,510(K),"The test is intended to quantitatively measure dcp in human serum and use as an aid in the risk assessment of patients with chronic liver disease for progression to hepatocellular carcinoma (hcc) in conjunction with other laboratory findings, imaging studies and clinical assessment for risk assessment of patients with chronic liver disease for progression to hepatocellular carcinoma.","An assay kit containing specific antibodies, substrates and reaction columns",Immunochemical liquid-phase binding assay,peripheral blood,N,N,Eligible
HE,Hematology,OBW,"11-Dehydro Thromboxane B2 Kit, Urinary",2,IDE,N,Y,,864.5700,1,510(K),"The test kit is an enzyme-linked immunoassay (elisa) to determine levels of 11-dehydro thromboxane b2 (11dhtxb2) in human urine, which aids in the qualitative detection of aspirin effect in apparently healthy individuals post ingestion.  For professional use only.",n/a,An enzyme linked immunosorbent assay (ELISA) for the detection of 11dhTxB2.,n/a,N,N,Eligible
HE,Hematology,NOZ,"Assay, 1,5-Anhydroglucitol (15ag)",2,IDE,N,N,,864.7470,1,510(K),"The test provides quantitative measurement of 1,5-anhydroglucitol (15AG) in patient's blood. The test is for professional use, and is indicated for the monitoring of glycemic control in people with diabetes.",,,,N,N,Eligible
IM,Immunology,PGV,Anti-Phospholipase A2 Receptor,2,IDE,N,Y,,866.5780,1,510(K),"The test system is intended for the qualitative determination of IgG class autoantibodies against phospholipase A2 receptor (PLA2R) in human serum. It is used as an aid in the diagnosis of primary membranous glomerulonephritis (pMGN), in conjunction with other  laboratory and clinical findings.","slides coated with cells, fluorescein-labelled detection antibody, positive and negative controls, buffers, embedding medium, cover glasses",indirect immunofluorescence assay (IFA),serum,N,Y,Ineligible
HO,General Hospital,OCI,"Indicator, Physical/Chemical, Storage Temperature",2,IDE,N,Y,,880.2800,1,510(K),"The time-temperature indicator provides a visual signal that a selected time-temperature profile has been exceeded.  When affixed to a device, a time temperature indicator is indicated, via a permanent color change, for the purpose of distinguishing between medical products that have exceeded a selected time-temperature profile of interest to the user from products that have not exceeded that profile.","Plastic label stock, with adhesive backing. Reference and active inks are deposited upon the plastic stock. The reference ring is printed with UV curable ink or a solvent-based ink, depending on the substrate. The active ink contains a suspension of diacetylenic monomers within a nitrocellulose-based ink vehicle.",The mode of operation is through the solid state polymerization of diacetylenes (DAs) to form poly(diacetylenes) (PDAs).,Affixed to packaging of a device.,N,N,Ineligible
EN,"Ear, Nose, & Throat",NIX,"Hearing Aid, Air Conduction, Transcutaneous System",2,IDE,N,N,,874.3950,1,510(K),"The transcutaneous air conduction hearing aid system is a wearable sound-amplifying device that is intended to compensate for impaired hearing.  It consists of an air conduction hearing aid attached to a surgically fitted tube system.  The tube creates an air channel through the soft tissue between outer ear canal and the post-auricular region of the pinna (ear).  The air conduction hearing aid attaches to the post-auricular opening of the tube, thereby transmiting amplified sound to the ear canal without occluding the canal.",,,,Y,N,Eligible
GU,Gastroenterology & Urology,PEW,Implantable Transprostatic Tissue Retractor System,2,IDE,N,N,,876.5530,1,510(K),The treatment of symptoms due to urinary outflow obstruction secondary to benign prostatic hyperplasia (BPH) in men age 50 and above.,"Comprises two main components, the delivery device and implant. Each delivery device comes pre-loaded with one I\implant. The delivery device is inserted into a 20F cystoscopy sheath which has been placed in the male urethra with the sheath tip located within the bladder. After insertion into the sheath, the tip of the device is positioned in the prostatic urethra and used to retract an obstructing prostatic lobe. An implant is then deployed transversely through the urethra into the prostatic tissue. The implant is secured to maintain the retracted position of the lobe. Implants are deployed thereby maintaining an expanded urethral lumen.","Delivered transurethrally using a rigid delivery device which is used to displace the urethra towards the prostatic capsule. The implants then maintain the approximated position of the inner (urethral) tissue and the outer (capsular) tissue of the prostate thereby reducing fluid obstruction and improving LUTS.  The displaced urethra then provides increased urethral opening.  The biological mechanism of action is localized transient tissue compression leading to lobular atrophy. Once lobular atrophy has been obtained, the static implant imparts no further mechanical stimulation on the tissue, and tissue remodeling is complete.",Prostate,Y,N,Eligible
TX,Clinical Toxicology,PVK,"Test, Tricyclic Antidepressant Drugs, Employment And Insurance Testing, Exempt",2,IDE,N,N,,862.3910,4,510(K) Exempt,"The tricyclic antidepressant drugs test is an in vitro diagnostic test for the qualitative analysis of tricyclic antidepressant drugs for employment and insurance testing.    FDA has exempted these devices from the premarket notification requirement by publishing in the Federal Register of July 11, 2017 (82 FR 31976) available at https://www.federalregister.gov/documents/2017/07/11/2017-14453/medical-devices-exemptions-from-premarket-notification-class-ii-devices subject to the limitations under 21 CFR XXX.9, where XXX refers to Parts 862-892, and any limitations on the exemption described in (82 FR 31976).  Any device that exceeds the limitations found in 21 CFR sections 862.9 to 892.9 or identified in the Federal Register  (82 FR 31976) available at https://www.federalregister.gov/documents/2017/07/11/2017-14453/medical-devices-exemptions-from-premarket-notification-class-ii-devices is required to submit a premarket notification submission (510(k)) to FDA before introducing a device into interstate commerce.  If a manufacturer’s device is exempt from the premarket notification requirement, then a premarket notification submission and FDA clearance is not required before marketing the device in the U.S. however, manufacturers are required to meet all other requirements under the Federal Food Drug & Cosmetic and implementing regulations including (but not limited to) registration and listing requirements. Please see the Device Registration and Listing website for additional information on registration and listing.",In vitro diagnostic device,Immunoassay,In vitro specimen,N,N,Ineligible
OP,Ophthalmic,NGY,"Cannula, Trocar, Ophthalmic",1,Pre-Amendment,N,N,,886.4350,4,510(K) Exempt,"The trocar/cannula set is a manual surgical instrument intended for use as single-use, disposable cannula system for establishing an entry site conduit for passing ophthalmic instruments used to perform posterior ophthalmic surgical procedures.",,,,N,N,Eligible
SU,General & Plastic Surgery,NLQ,"Scalpel, Ultrasonic, Reprocessed",1,Pre-Amendment,N,N,,,1,510(K),The ultrasonic scalpel is intended for incision and excision of soft tissues.  This device is indicated for reuse/reprocessing.,,,,N,N,Eligible
SU,General & Plastic Surgery,NRB,"Wound Cleaner, Ultrasound",2,IDE,N,Y,,878.4410,1,510(K),The ultrasound wound cleaner/mild debridement system is a device that delivers a cleaning fluid to the wound that is pulsed using low power ultrasound radiation.  The device is intended to clean and mildly debride wounds.  The ultrasound generator must deliver 1.0 mw/cm2 or less energy to the wound,,,,N,N,Eligible
OB,Obstetrics/Gynecology,OSP,Uterine Electromyographic Monitor,2,IDE,N,N,,884.2720,1,510(K),The uterine electromyographic monitor is intended to pick up uterine emg signals from surface electrodes placed on the maternal abdomen.  It produces a uterine activity tracing and monitors women in labor at term gestation with a singleton pregnancy.,Monitor with associated electronics and patient skin electrodes.,"abdominal EMG surface electrodes that pick up electrical activity from the uterus in labor, electrical signal converted to a monitor tracing.",Maternal abdomen and uterus,N,N,Ineligible
HO,General Hospital,PUR,Vacuum Syringe,2,IDE,N,N,,880.5860,1,510(K),"The vacuum syringe is intended to be used as a general purpose syringe for injection and withdrawal of fluids and can be locked in place to create a vacuum for removal of  fluid and/or tissue  from the body in the form of thrombus, abscess fluid, and infected fluid.","The vacuum syringe consists of a barrel, plunger, piston seal and a locking mechanism.","A vacuum syringe may be used in instances where fluid and/or tissue needs to be removed from the body in the form of thrombus, abscess fluid, and infected fluid (e.g. urine, bile, etc,). Thrombus and other fluid can be thick, which makes it difficult to aspirate. The locking feature of the Vacuum Syringe allows the user to aspirate by pulling the plunger back to the desired position and locking the plunger, creating a continuous vacuum, which can be used to aspirate the fluid or thrombus without the need to continuously hold the plunger back.",Human fluid,N,N,Ineligible
MI,Microbiology,PRA,Variola Virus Nucleic Acid-Based Detection Assay,2,IDE,N,N,,866.3316,1,510(K),"The Variola virus nucleic acid-based detection assay is intended for individuals presenting with pustular or vesicular rash illness or other signs and symptoms of Variola virus infection.  The test results must be used in conjunction with other diagnostic assays and clinical observations, as an aid to the diagnosis of infection, in accordance with the criteria defined by the appropriate public health authorities with the Federal government.",The Variola virus nucleic acid-based detection assays are in vitro diagnostic devices that consist of reagents and associated instrumentation for the detection and identification of Variola virus nucleic acids in human clinical specimens.,Qualitative in vitro diagnostic assay that detects and identifies Variola virus nucleic acids in human clinical specimens.,In vitro diagnostic device,N,N,Ineligible
MI,Microbiology,NOP,"Elisa, Antibody, West Nile Virus",2,IDE,N,N,,866.3940,1,510(K),The West Nile Virus ELISA is intended for the detection of IgG and IgM antibodies to West Nile Virus. Specimens may be serum or cerebral spinal fluid from symptomatic patients.,,,,N,N,Eligible
